"Date","symbol","buy_and_hold","sma20_50","rsi_mean_reversion"
"2022-09-11","ETHUSDT","58480.4635761591","219575.776623356","3321.12816079112"
"2022-09-12","ETHUSDT","56833.4437086094","219575.776623356","3321.12816079112"
"2022-09-13","ETHUSDT","52132.4503311259","219575.776623356","3321.12816079112"
"2022-09-14","ETHUSDT","54251.3245033114","219575.776623356","3321.12816079112"
"2022-09-15","ETHUSDT","48766.5562913908","219575.776623356","3321.12816079112"
"2022-09-16","ETHUSDT","47480.1324503312","219575.776623356","3321.12816079112"
"2022-09-17","ETHUSDT","48636.7549668875","219575.776623356","3321.12816079112"
"2022-09-18","ETHUSDT","44189.0728476822","219575.776623356","3321.12816079112"
"2022-09-19","ETHUSDT","45562.2516556292","219575.776623356","3321.12816079112"
"2022-09-20","ETHUSDT","43805.6291390729","219575.776623356","3321.12816079112"
"2022-09-21","ETHUSDT","41250.9933774835","219575.776623356","3321.12816079112"
"2022-09-22","ETHUSDT","43922.5165562915","219575.776623356","3321.12816079112"
"2022-09-23","ETHUSDT","43948.6754966888","219575.776623356","3321.12816079112"
"2022-09-24","ETHUSDT","43613.5761589405","219575.776623356","3321.12816079112"
"2022-09-25","ETHUSDT","42868.5430463577","219575.776623356","3321.12816079112"
"2022-09-26","ETHUSDT","44244.0397350994","219575.776623356","3321.12816079112"
"2022-09-27","ETHUSDT","43974.1721854306","219575.776623356","3321.12816079112"
"2022-09-28","ETHUSDT","44278.1456953643","219575.776623356","3321.12816079112"
